package,mentions,classification,has_console_classifier,vuln_count,max_severity,advisory_ids,summary
yt-dlp,85,cli,True,22,HIGH,"GHSA-3ch3-jhc6-5r8x,GHSA-3v33-3wmw-3785,GHSA-42h4-v29r-42qg,GHSA-69qj-pvh9-c5wg,GHSA-6v4j-43gg-vj32,GHSA-79w7-vh3h-8g4j,GHSA-c6mh-fpjc-4pr3,GHSA-f7j3-774f-rfhj,GHSA-g3gw-q23r-pgqm,GHSA-hjq6-52gw-2g7p,GHSA-v8mc-9377-rwjj,GHSA-vx4q-3cr2-7cg2,PYSEC-2026-2063,PYSEC-2026-2064,PYSEC-2026-2065,PYSEC-2026-2066,PYSEC-2026-2067,PYSEC-2026-3430,PYSEC-2026-3431,PYSEC-2026-3432,PYSEC-2026-3433,PYSEC-2026-3622",yt-dlp Generic Extractor MITM Vulnerability via Arbitrary Proxy Injection; yt-dlp has dependency on potentially malicious third-party code in Douyu extractors;  yt-dlp on Windows vulnerable to `--exec` command injection when using `%q`
pandas,69,cli,True,1,,PYSEC-2020-73,
python-pptx,58,cli,True,0,,,
python-docx,33,cli,True,2,HIGH,"GHSA-34wj-p5jm-2p96,PYSEC-2016-21",Improper Restriction of XML External Entity Reference in python-docx; 
principalmapper,20,cli,True,0,,,
gget,17,cli,True,0,,,
scanpy,15,cli,True,0,,,
python-gdcm,14,cli,True,0,,,
github-copilot-sdk,14,likely-cli (no console classifier found),False,0,,,
privacy-mask,14,cli,True,0,,,
pyobjc-framework-cocoa,14,cli,True,0,,,
truefoundry,14,likely-cli (no console classifier found),False,0,,,
frida-tools,13,cli,True,0,,,
anndata,12,cli,True,0,,,
leidenalg,11,cli,True,0,,,
statsmodels,10,cli,True,0,,,
psutil,10,cli,True,2,HIGH,"GHSA-qfc5-mcwq-26q8,PYSEC-2019-41",Double Free in psutil; 
apify,10,cli,True,0,,,
